Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-10-03 07:41:38,false,"Athens Running","18.00","2,194","02:24:26","162","177","5.0","148","184","8:01","6:03","1,043","1,000","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:01.79","19","0.0","--","--","--","--","--","--","--","02:23:46","02:31:15","581","781"
Running,2021-10-02 07:53:14,false,"Athens Running","3.50","436","00:35:11","137","155","2.2","144","155","10:03","8:36","129","64","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","04:55.76","4","0.0","--","--","--","--","--","--","--","00:35:10","00:35:11","634","741"
Running,2021-10-01 05:30:33,false,"Athens Running","11.03","1,341","01:27:05","159","175","4.1","147","158","7:54","6:56","580","524","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:17.18","12","0.0","--","--","--","--","--","--","--","01:26:52","01:27:45","634","756"
Running,2021-09-30 06:26:54,false,"Athens Running","5.00","647","00:50:29","143","167","2.5","144","158","10:05","8:56","307","281","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.75","6","0.0","--","--","--","--","--","--","--","00:50:26","00:50:42","634","741"
Running,2021-09-29 05:56:52,false,"Athens Running","10.00","1,196","01:13:37","166","184","4.6","153","170","7:22","5:59","591","523","1.43","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.99","11","0.0","--","--","--","--","--","--","--","01:13:29","01:14:22","634","742"
Running,2021-09-28 17:52:02,false,"Athens Running","6.43","807","01:02:19","146","161","2.9","141","160","9:42","8:09","321","276","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","04:12.53","7","0.0","--","--","--","--","--","--","--","01:01:46","01:03:49","631","741"
Running,2021-09-26 07:34:23,false,"Athens Running","16.00","1,905","02:00:38","165","187","5.0","155","184","7:32","5:32","823","810","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:01.70","17","0.0","--","--","--","--","--","--","--","02:00:10","02:03:35","581","781"
Walking,2021-09-25 10:04:51,false,"Athens Walking","7.03","831","02:33:14","95","128","0.8","81","207","21:48","1:27","593","565","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.24","8","0.0","--","--","--","--","--","--","--","02:20:42","02:42:53","650","725"
Running,2021-09-25 07:10:24,false,"Athens Running","4.19","564","00:42:47","148","166","2.5","143","168","10:13","8:49","224","193","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:58.04","5","0.0","--","--","--","--","--","--","--","00:42:47","00:42:47","635","741"
Running,2021-09-24 06:02:23,false,"Athens Running","11.00","1,369","01:26:22","164","182","4.4","149","169","7:51","6:50","543","491","1.37","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:01.61","12","0.0","--","--","--","--","--","--","--","01:26:09","01:26:42","632","757"
Running,2021-09-23 18:36:13,false,"Athens Running","5.00","624","00:41:07","157","173","3.3","147","192","8:14","5:37","299","299","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","07:48.76","5","0.0","--","--","--","--","--","--","--","00:40:46","00:42:45","630","781"
Pool Swimming,2021-09-22 17:33:48,false,"Pool Swimming","800","160","00:25:31","148","180","2.7","--","--","1:42","1:03","--","--","0.00","0.0","0.0","0.0","0.0","0.0","401","38","30","--","--","0:00","0.0","0:00","No","00:14.92","31","0.0","--","--","--","--","--","--","--","00:13:34","00:26:02","--","--"
Indoor Cycling,2021-09-22 06:22:58,false,"Indoor Cycling","0.00","353","00:40:02","119","131","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","40:01.75","1","0.0","--","--","--","--","--","--","--","00:00:00","00:40:57","--","--"
Running,2021-09-21 06:15:17,false,"Athens Running","8.01","976","01:00:47","163","176","4.1","150","189","7:35","4:54","490","403","1.41","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:03.95","9","0.0","--","--","--","--","--","--","--","00:00:00","01:02:03","633","741"
Pool Swimming,2021-09-20 17:30:26,false,"Pool Swimming","1,025","205","00:32:32","115","136","0.9","--","--","1:44","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","526","39","30","--","--","0:00","0.0","0:00","No","00:14.02","36","0.0","--","--","--","--","--","--","--","00:00:00","00:32:45","--","--"
Running,2021-09-19 06:58:09,false,"Athens Running","16.01","2,047","02:09:43","167","182","5.0","148","173","8:06","6:26","818","835","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:01.72","17","0.0","--","--","--","--","--","--","--","00:00:00","02:13:05","581","781"
Running,2021-09-18 09:46:02,false,"Athens Running","3.48","456","00:33:39","149","167","2.4","147","160","9:40","8:00","130","113","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","04:35.99","4","0.0","--","--","--","--","--","--","--","00:00:00","00:33:39","635","741"
