"","labs","rows"
"1938","Max Elev","780.8 ft"
"1939","Avg Run Cadence","147 spm"
"1940","Max Run Cadence","167 spm"
"1941","Avg Stride Length","1.38 m"
"1942","title","Athens Running"
"1943","Distance","6.33 mi"
"1944","Calories Burned","717 C"
"1945","Calories Consumed","-- C"
"1946","Calories Net","-717 C"
"1947","Est. Sweat Loss","279 ml"
"1948","Fluid Consumed","-- ml"
"1949","Fluid Net","-279 ml"
"1950","Aerobic","3.4 Impacting"
"1951","Anaerobic","3.3 Impacting"
"1952","Avg HR","162 bpm"
"1953","Max HR","183 bpm"
"1954","Time","46:35"
"1955","Moving Time","46:25"
"1956","Elapsed Time","59:25"
"1957","Avg Speed","8.2 mph"
"1958","Avg Moving Speed","8.2 mph"
"1959","Max Speed","13.0 mph"
"1960","Total Ascent","52.7 ft"
"1961","Total Descent","52.7 ft"
"1962","Min Elev","718.5 ft"
"1963","Max Elev","737.8 ft"
"1964","Avg Run Cadence","153 spm"
"1965","Max Run Cadence","184 spm"
"1966","Avg Stride Length","1.41 m"
"1967","title","Athens Running"
"1968","Distance","8.02 mi"
"1969","Calories Burned","1,011 C"
"1970","Calories Consumed","-- C"
"1971","Calories Net","-1,011 C"
"1972","Est. Sweat Loss","362 ml"
"1973","Fluid Consumed","-- ml"
"1974","Fluid Net","-362 ml"
"1975","Aerobic","4.4 Highly Impacting"
"1976","Anaerobic","0.0 No Benefit"
"1977","Avg HR","168 bpm"
"1978","Max HR","181 bpm"
"1979","Time","1:00:22"
"1980","Moving Time","1:00:12"
"1981","Elapsed Time","1:00:59"
"1982","Avg Speed","8.0 mph"
"1983","Avg Moving Speed","8.0 mph"
"1984","Max Speed","9.4 mph"
"1985","Total Ascent","483.1 ft"
"1986","Total Descent","428.1 ft"
"1987","Min Elev","633.6 ft"
"1988","Max Elev","741.5 ft"
"1989","Avg Run Cadence","151 spm"
"1990","Max Run Cadence","162 spm"
"1991","Avg Stride Length","1.42 m"
"1992","title","Athens Running"
"1993","Distance","15.01 mi"
"1994","Calories Burned","1,874 C"
"1995","Calories Consumed","-- C"
"1996","Calories Net","-1,874 C"
"1997","Est. Sweat Loss","719 ml"
"1998","Fluid Consumed","-- ml"
"1999","Fluid Net","-719 ml"
"2000","Aerobic","4.7 Highly Impacting"
"2001","Anaerobic","0.0 No Benefit"
"2002","Avg HR","163 bpm"
"2003","Max HR","176 bpm"
"2004","Time","1:59:55"
"2005","Moving Time","1:59:33"
"2006","Elapsed Time","2:08:07"
"2007","Avg Speed","7.5 mph"
"2008","Avg Moving Speed","7.5 mph"
"2009","Max Speed","11.1 mph"
"2010","Total Ascent","717.8 ft"
"2011","Total Descent","676.2 ft"
"2012","Min Elev","580.7 ft"
"2013","Max Elev","780.8 ft"
"2014","Avg Run Cadence","150 spm"
"2015","Max Run Cadence","181 spm"
"2016","Avg Stride Length","1.34 m"
"2017","title","Athens Running"
"2018","Distance","2.97 mi"
"2019","Calories Burned","391 C"
"2020","Calories Consumed","-- C"
"2021","Calories Net","-391 C"
"2022","Est. Sweat Loss","459 ml"
"2023","Fluid Consumed","-- ml"
"2024","Fluid Net","-459 ml"
"2025","Aerobic","2.1 Maintaining"
"2026","Anaerobic","0.0 No Benefit"
"2027","Avg HR","139 bpm"
"2028","Max HR","163 bpm"
"2029","Time","32:27"
"2030","Moving Time","32:24"
"2031","Elapsed Time","41:33"
"2032","Avg Speed","5.5 mph"
"2033","Avg Moving Speed","5.5 mph"
"2034","Max Speed","7.6 mph"
"2035","Total Ascent","180.1 ft"
"2036","Total Descent","202.7 ft"
"2037","Min Elev","603.7 ft"
"2038","Max Elev","749.3 ft"
"2039","Avg Run Cadence","145 spm"
"2040","Max Run Cadence","167 spm"
"2041","Avg Stride Length","1.01 m"
"2042","title","Athens Running"
"2043","Distance","8.00 mi"
"2044","Calories Burned","1,062 C"
"2045","Calories Consumed","-- C"
"2046","Calories Net","-1,062 C"
"2047","Est. Sweat Loss","387 ml"
"2048","Fluid Consumed","-- ml"
"2049","Fluid Net","-387 ml"
"2050","Aerobic","4.3 Highly Impacting"
"2051","Anaerobic","0.1 No Benefit"
"2052","Avg HR","163 bpm"
"2053","Max HR","176 bpm"
"2054","Time","1:04:35"
"2055","Moving Time","1:04:29"
"2056","Elapsed Time","1:06:54"
"2057","Avg Speed","7.4 mph"
"2058","Avg Moving Speed","7.4 mph"
"2059","Max Speed","8.5 mph"
"2060","Total Ascent","463.5 ft"
"2061","Total Descent","454.2 ft"
"2062","Min Elev","630.0 ft"
"2063","Max Elev","741.5 ft"
"2064","Avg Run Cadence","151 spm"
"2065","Max Run Cadence","179 spm"
"2066","Avg Stride Length","1.32 m"
"2067","title","Athens Running"
"2068","Distance","4.92 mi"
"2069","Calories Burned","679 C"
"2070","Calories Consumed","-- C"
"2071","Calories Net","-679 C"
"2072","Est. Sweat Loss","281 ml"
"2073","Fluid Consumed","-- ml"
"2074","Fluid Net","-281 ml"
"2075","Aerobic","3.2 Impacting"
"2076","Anaerobic","0.1 No Benefit"
"2077","Avg HR","151 bpm"
"2078","Max HR","171 bpm"
"2079","Time","46:50"
"2080","Moving Time","46:38"
"2081","Elapsed Time","48:37"
"2082","Avg Speed","6.3 mph"
"2083","Avg Moving Speed","6.3 mph"
"2084","Max Speed","7.9 mph"
"2085","Total Ascent","350.4 ft"
"2086","Total Descent","350.6 ft"
"2087","Min Elev","629.5 ft"
"2088","Max Elev","780.8 ft"
"2089","Avg Run Cadence","144 spm"
"2090","Max Run Cadence","158 spm"
"2091","Avg Stride Length","1.17 m"
"2092","title","Athens Running"
"2093","Distance","1.35 mi"
"2094","Calories Burned","177 C"
"2095","Calories Consumed","-- C"
"2096","Calories Net","-177 C"
"2097","Est. Sweat Loss","75 ml"
"2098","Fluid Consumed","-- ml"
"2099","Fluid Net","-75 ml"
"2100","Aerobic","2.1 Maintaining"
"2101","Anaerobic","0.0 No Benefit"
"2102","Avg HR","143 bpm"
"2103","Max HR","159 bpm"
"2104","Time","12:38"
"2105","Moving Time","12:26"
"2106","Elapsed Time","12:55"
"2107","Avg Speed","6.4 mph"
"2108","Avg Moving Speed","6.5 mph"
"2109","Max Speed","7.9 mph"
"2110","Total Ascent","73.5 ft"
"2111","Total Descent","73.7 ft"
"2112","Min Elev","604.4 ft"
"2113","Max Elev","661.2 ft"
"2114","Avg Run Cadence","146 spm"
"2115","Max Run Cadence","160 spm"
"2116","Avg Stride Length","1.18 m"
"2117","title","Athens Running"
"2118","Distance","6.01 mi"
"2119","Calories Burned","743 C"
"2120","Calories Consumed","-- C"
"2121","Calories Net","-743 C"
"2122","Est. Sweat Loss","282 ml"
"2123","Fluid Consumed","-- ml"
"2124","Fluid Net","-282 ml"
"2125","Aerobic","3.5 Impacting"
"2126","Anaerobic","0.0 No Benefit"
"2127","Avg HR","158 bpm"
"2128","Max HR","171 bpm"
"2129","Time","47:00"
"2130","Moving Time","46:43"
"2131","Elapsed Time","48:32"
"2132","Avg Speed","7.7 mph"
"2133","Avg Moving Speed","7.7 mph"
"2134","Max Speed","8.9 mph"
"2135","Total Ascent","365.5 ft"
"2136","Total Descent","342.3 ft"
"2137","Min Elev","634.7 ft"
"2138","Max Elev","741.5 ft"
"2139","Avg Run Cadence","155 spm"
"2140","Max Run Cadence","170 spm"
"2141","Avg Stride Length","1.33 m"
"2142","title","Athens Running"
"2143","Distance","4.03 mi"
"2144","Calories Burned","473 C"
"2145","Calories Consumed","-- C"
"2146","Calories Net","-473 C"
"2147","Est. Sweat Loss","170 ml"
"2148","Fluid Consumed","-- ml"
"2149","Fluid Net","-170 ml"
"2150","Aerobic","3.3 Impacting"
"2151","Anaerobic","0.2 No Benefit"
"2152","Avg HR","166 bpm"
"2153","Max HR","180 bpm"
"2154","Time","28:27"
"2155","Moving Time","28:24"
"2156","Elapsed Time","29:42"
"2157","Avg Speed","8.5 mph"
"2158","Avg Moving Speed","8.5 mph"
"2159","Max Speed","10.1 mph"
"2160","Total Ascent","230.1 ft"
"2161","Total Descent","247.3 ft"
"2162","Min Elev","631.8 ft"
"2163","Max Elev","780.8 ft"
"2164","Avg Run Cadence","154 spm"
"2165","Max Run Cadence","179 spm"
"2166","Avg Stride Length","1.48 m"
"2167","title","Athens Running"
"2168","Distance","2.92 mi"
"2169","Calories Burned","330 C"
"2170","Calories Consumed","-- C"
"2171","Calories Net","-330 C"
"2172","Est. Sweat Loss","125 ml"
"2173","Fluid Consumed","-- ml"
"2174","Fluid Net","-125 ml"
"2175","Aerobic","2.8 Maintaining"
"2176","Anaerobic","2.4 Maintaining"
"2177","Avg HR","159 bpm"
"2178","Max HR","182 bpm"
"2179","Time","20:57"
"2180","Moving Time","20:56"
"2181","Elapsed Time","30:28"
"2182","Avg Speed","8.4 mph"
"2183","Avg Moving Speed","8.4 mph"
"2184","Max Speed","12.2 mph"
"2185","Total Ascent","42.9 ft"
"2186","Total Descent","36.7 ft"
"2187","Min Elev","718.5 ft"
"2188","Max Elev","736.3 ft"
"2189","Avg Run Cadence","155 spm"
"2190","Max Run Cadence","184 spm"
"2191","Avg Stride Length","1.42 m"
"2192","title","Athens Running"
"2193","Distance","3.15 mi"
"2194","Calories Burned","396 C"
"2195","Calories Consumed","-- C"
"2196","Calories Net","-396 C"
"2197","Est. Sweat Loss","177 ml"
"2198","Fluid Consumed","-- ml"
"2199","Fluid Net","-177 ml"
"2200","Aerobic","2.3 Maintaining"
"2201","Anaerobic","0.0 No Benefit"
"2202","Avg HR","142 bpm"
"2203","Max HR","155 bpm"
"2204","Time","29:39"
"2205","Moving Time","29:37"
"2206","Elapsed Time","29:39"
"2207","Avg Speed","6.4 mph"
"2208","Avg Moving Speed","6.4 mph"
"2209","Max Speed","7.8 mph"
"2210","Total Ascent","117.8 ft"
"2211","Total Descent","68.1 ft"
"2212","Min Elev","633.2 ft"
"2213","Max Elev","741.5 ft"
"2214","Avg Run Cadence","147 spm"
"2215","Max Run Cadence","160 spm"
"2216","Avg Stride Length","1.16 m"
"2217","title","Athens Running"
"2218","Distance","3.15 mi"
"2219","Calories Burned","396 C"
"2220","Calories Consumed","-- C"
"2221","Calories Net","-396 C"
"2222","Est. Sweat Loss","177 ml"
"2223","Fluid Consumed","-- ml"
"2224","Fluid Net","-177 ml"
"2225","Aerobic","2.3 Maintaining"
"2226","Anaerobic","0.0 No Benefit"
"2227","Avg HR","142 bpm"
"2228","Max HR","155 bpm"
"2229","Time","29:39"
"2230","Moving Time","29:37"
"2231","Elapsed Time","29:39"
"2232","Avg Speed","6.4 mph"
"2233","Avg Moving Speed","6.4 mph"
"2234","Max Speed","7.8 mph"
"2235","Total Ascent","117.8 ft"
"2236","Total Descent","68.1 ft"
"2237","Min Elev","633.2 ft"
"2238","Max Elev","741.5 ft"
"2239","Avg Run Cadence","147 spm"
"2240","Max Run Cadence","160 spm"
"2241","Avg Stride Length","1.16 m"
"2242","title","Athens Running"
"2243","Distance","13.11 mi"
"2244","Calories Burned","1,522 C"
"2245","Calories Consumed","-- C"
"2246","Calories Net","-1,522 C"
"2247","Est. Sweat Loss","610 ml"
"2248","Fluid Consumed","-- ml"
"2249","Fluid Net","-610 ml"
"2250","Aerobic","4.2 Highly Impacting"
"2251","Anaerobic","0.2 No Benefit"
"2252","Avg HR","158 bpm"
"2253","Max HR","177 bpm"
"2254","Time","1:41:51"
"2255","Moving Time","1:41:26"
"2256","Elapsed Time","1:46:02"
"2257","Avg Speed","7.7 mph"
"2258","Avg Moving Speed","7.8 mph"
"2259","Max Speed","10.6 mph"
"2260","Total Ascent","736.8 ft"
"2261","Total Descent","756.0 ft"
"2262","Min Elev","580.7 ft"
"2263","Max Elev","780.8 ft"
"2264","Avg Run Cadence","152 spm"
"2265","Max Run Cadence","176 spm"
"2266","Avg Stride Length","1.36 m"
"2267","title","Athens Running"
"2268","Distance","4.01 mi"
"2269","Calories Burned","530 C"
"2270","Calories Consumed","-- C"
"2271","Calories Net","-530 C"
"2272","Est. Sweat Loss","230 ml"
"2273","Fluid Consumed","-- ml"
"2274","Fluid Net","-230 ml"
"2275","Aerobic","2.7 Maintaining"
"2276","Anaerobic","0.0 No Benefit"
"2277","Avg HR","146 bpm"
"2278","Max HR","161 bpm"
"2279","Time","38:29"
"2280","Moving Time","38:27"
"2281","Elapsed Time","38:43"
"2282","Avg Speed","6.3 mph"
"2283","Avg Moving Speed","6.3 mph"
"2284","Max Speed","6.9 mph"
"2285","Total Ascent","259.2 ft"
"2286","Total Descent","199.6 ft"
"2287","Min Elev","634.4 ft"
"2288","Max Elev","741.5 ft"
"2289","Avg Run Cadence","146 spm"
"2290","Max Run Cadence","162 spm"
"2291","Avg Stride Length","1.15 m"
"2292","title","Athens Running"
"2293","Distance","8.01 mi"
"2294","Calories Burned","1,077 C"
"2295","Calories Consumed","-- C"
"2296","Calories Net","-1,077 C"
"2297","Est. Sweat Loss","389 ml"
"2298","Fluid Consumed","-- ml"
"2299","Fluid Net","-389 ml"
"2300","Aerobic","4.3 Highly Impacting"
"2301","Anaerobic","0.0 No Benefit"
"2302","Avg HR","166 bpm"
"2303","Max HR","177 bpm"
"2304","Time","1:04:59"
"2305","Moving Time","1:04:50"
"2306","Elapsed Time","1:07:08"
"2307","Avg Speed","7.4 mph"
"2308","Avg Moving Speed","7.4 mph"
"2309","Max Speed","8.9 mph"
"2310","Total Ascent","505.6 ft"
"2311","Total Descent","452.0 ft"
"2312","Min Elev","634.4 ft"
"2313","Max Elev","741.5 ft"
"2314","Avg Run Cadence","152 spm"
"2315","Max Run Cadence","166 spm"
"2316","Avg Stride Length","1.30 m"
"2317","title","Athens Running"
"2318","Distance","4.92 mi"
"2319","Calories Burned","683 C"
"2320","Calories Consumed","-- C"
"2321","Calories Net","-683 C"
"2322","Est. Sweat Loss","249 ml"
"2323","Fluid Consumed","-- ml"
"2324","Fluid Net","-249 ml"
"2325","Aerobic","3.7 Impacting"
"2326","Anaerobic","0.1 No Benefit"
"2327","Avg HR","163 bpm"
"2328","Max HR","180 bpm"
"2329","Time","41:37"
"2330","Moving Time","41:28"
"2331","Elapsed Time","43:12"
"2332","Avg Speed","7.1 mph"
"2333","Avg Moving Speed","7.1 mph"
"2334","Max Speed","9.4 mph"
"2335","Total Ascent","318.0 ft"
"2336","Total Descent","306.9 ft"
"2337","Min Elev","627.2 ft"
"2338","Max Elev","780.8 ft"
"2339","Avg Run Cadence","149 spm"
"2340","Max Run Cadence","166 spm"
"2341","Avg Stride Length","1.27 m"
"2342","title","Athens Running"
"2343","Distance","5.27 mi"
"2344","Calories Burned","584 C"
"2345","Calories Consumed","-- C"
"2346","Calories Net","-584 C"
"2347","Est. Sweat Loss","228 ml"
"2348","Fluid Consumed","-- ml"
"2349","Fluid Net","-228 ml"
"2350","Aerobic","3.3 Impacting"
"2351","Anaerobic","3.0 Impacting"
"2352","Avg HR","160 bpm"
"2353","Max HR","186 bpm"
"2354","Time","38:07"
"2355","Moving Time","38:05"
"2356","Elapsed Time","45:05"
"2357","Avg Speed","8.3 mph"
"2358","Avg Moving Speed","8.3 mph"
"2359","Max Speed","12.2 mph"
"2360","Total Ascent","140.0 ft"
"2361","Total Descent","123.8 ft"
"2362","Min Elev","718.5 ft"
"2363","Max Elev","737.5 ft"
"2364","Avg Run Cadence","154 spm"
"2365","Max Run Cadence","184 spm"
"2366","Avg Stride Length","1.43 m"
"2367","title","Athens Running"
"2368","Distance","8.01 mi"
"2369","Calories Burned","1,017 C"
"2370","Calories Consumed","-- C"
"2371","Calories Net","-1,017 C"
"2372","Est. Sweat Loss","379 ml"
"2373","Fluid Consumed","-- ml"
"2374","Fluid Net","-379 ml"
"2375","Aerobic","4.1 Highly Impacting"
"2376","Anaerobic","0.0 No Benefit"
"2377","Avg HR","162 bpm"
"2378","Max HR","175 bpm"
"2379","Time","1:03:16"
"2380","Moving Time","1:03:08"
"2381","Elapsed Time","1:03:40"
"2382","Avg Speed","7.6 mph"
"2383","Avg Moving Speed","7.6 mph"
"2384","Max Speed","9.0 mph"
"2385","Total Ascent","473.2 ft"
"2386","Total Descent","385.3 ft"
"2387","Min Elev","631.2 ft"
"2388","Max Elev","741.5 ft"
"2389","Avg Run Cadence","150 spm"
"2390","Max Run Cadence","160 spm"
"2391","Avg Stride Length","1.36 m"
"2392","title","Athens Running"
"2393","Distance","13.14 mi"
"2394","Calories Burned","1,571 C"
"2395","Calories Consumed","-- C"
"2396","Calories Net","-1,571 C"
"2397","Est. Sweat Loss","630 ml"
"2398","Fluid Consumed","-- ml"
"2399","Fluid Net","-630 ml"
"2400","Aerobic","4.3 Highly Impacting"
"2401","Anaerobic","0.5 No Benefit"
"2402","Avg HR","160 bpm"
"2403","Max HR","173 bpm"
"2404","Time","1:45:09"
"2405","Moving Time","1:44:11"
"2406","Elapsed Time","1:54:57"
"2407","Avg Speed","7.5 mph"
"2408","Avg Moving Speed","7.6 mph"
"2409","Max Speed","9.6 mph"
"2410","Total Ascent","751.5 ft"
"2411","Total Descent","653.5 ft"
"2412","Min Elev","580.7 ft"
"2413","Max Elev","780.8 ft"
"2414","Avg Run Cadence","150 spm"
"2415","Max Run Cadence","170 spm"
"2416","Avg Stride Length","1.34 m"
"2417","title","Athens Running"
"2418","Distance","4.21 mi"
"2419","Calories Burned","554 C"
"2420","Calories Consumed","-- C"
"2421","Calories Net","-554 C"
"2422","Est. Sweat Loss","253 ml"
"2423","Fluid Consumed","-- ml"
"2424","Fluid Net","-253 ml"
"2425","Aerobic","2.5 Maintaining"
"2426","Anaerobic","0.0 No Benefit"
"2427","Avg HR","144 bpm"
"2428","Max HR","155 bpm"
"2429","Time","42:10"
"2430","Moving Time","42:09"
"2431","Elapsed Time","42:24"
"2432","Avg Speed","6.0 mph"
"2433","Avg Moving Speed","6.0 mph"
"2434","Max Speed","7.2 mph"
"2435","Total Ascent","210.2 ft"
"2436","Total Descent","154.8 ft"
"2437","Min Elev","633.1 ft"
"2438","Max Elev","741.5 ft"
"2439","Avg Run Cadence","145 spm"
"2440","Max Run Cadence","164 spm"
"2441","Avg Stride Length","1.11 m"
"2442","title","Athens Running"
"2443","Distance","8.03 mi"
"2444","Calories Burned","1,045 C"
"2445","Calories Consumed","-- C"
"2446","Calories Net","-1,045 C"
"2447","Est. Sweat Loss","379 ml"
"2448","Fluid Consumed","-- ml"
"2449","Fluid Net","-379 ml"
"2450","Aerobic","4.2 Highly Impacting"
"2451","Anaerobic","0.0 No Benefit"
"2452","Avg HR","166 bpm"
"2453","Max HR","178 bpm"
"2454","Time","1:03:21"
"2455","Moving Time","1:03:01"
"2456","Elapsed Time","1:03:52"
"2457","Avg Speed","7.6 mph"
"2458","Avg Moving Speed","7.6 mph"
"2459","Max Speed","8.7 mph"
"2460","Total Ascent","482.8 ft"
"2461","Total Descent","411.3 ft"
"2462","Min Elev","634.0 ft"
"2463","Max Elev","741.5 ft"
"2464","Avg Run Cadence","150 spm"
"2465","Max Run Cadence","164 spm"
"2466","Avg Stride Length","1.36 m"
"2467","title","Athens Running"
"2468","Distance","4.73 mi"
"2469","Calories Burned","664 C"
"2470","Calories Consumed","-- C"
"2471","Calories Net","-664 C"
"2472","Est. Sweat Loss","262 ml"
"2473","Fluid Consumed","-- ml"
"2474","Fluid Net","-262 ml"
"2475","Aerobic","3.4 Impacting"
"2476","Anaerobic","0.0 No Benefit"
"2477","Avg HR","156 bpm"
"2478","Max HR","170 bpm"
"2479","Time","43:44"
"2480","Moving Time","43:04"
"2481","Elapsed Time","54:12"
"2482","Avg Speed","6.5 mph"
"2483","Avg Moving Speed","6.6 mph"
"2484","Max Speed","8.1 mph"
"2485","Total Ascent","199.4 ft"
"2486","Total Descent","199.4 ft"
"2487","Min Elev","682.9 ft"
"2488","Max Elev","780.8 ft"
"2489","Avg Run Cadence","143 spm"
"2490","Max Run Cadence","166 spm"
"2491","Avg Stride Length","1.22 m"
"2492","title","Athens Running"
"2493","Distance","8.01 mi"
"2494","Calories Burned","1,007 C"
"2495","Calories Consumed","-- C"
"2496","Calories Net","-1,007 C"
"2497","Est. Sweat Loss","364 ml"
"2498","Fluid Consumed","-- ml"
"2499","Fluid Net","-364 ml"
"2500","Aerobic","4.3 Highly Impacting"
"2501","Anaerobic","0.0 No Benefit"
"2502","Avg HR","166 bpm"
"2503","Max HR","177 bpm"
"2504","Time","1:00:41"
"2505","Moving Time","1:00:39"
"2506","Elapsed Time","1:01:17"
"2507","Avg Speed","7.9 mph"
"2508","Avg Moving Speed","7.9 mph"
"2509","Max Speed","9.8 mph"
"2510","Total Ascent","491.0 ft"
"2511","Total Descent","397.3 ft"
"2512","Min Elev","630.3 ft"
"2513","Max Elev","741.5 ft"
"2514","Avg Run Cadence","154 spm"
"2515","Max Run Cadence","203 spm"
"2516","Avg Stride Length","1.38 m"
"2517","title","Athens Running"
"2518","Distance","5.01 mi"
"2519","Calories Burned","599 C"
"2520","Calories Consumed","-- C"
"2521","Calories Net","-599 C"
"2522","Est. Sweat Loss","206 ml"
"2523","Fluid Consumed","-- ml"
"2524","Fluid Net","-206 ml"
"2525","Aerobic","4.0 Highly Impacting"
"2526","Anaerobic","0.6 No Benefit"
"2527","Avg HR","173 bpm"
"2528","Max HR","185 bpm"
"2529","Time","34:29"
"2530","Moving Time","34:25"
"2531","Elapsed Time","35:03"
"2532","Avg Speed","8.7 mph"
"2533","Avg Moving Speed","8.7 mph"
"2534","Max Speed","10.5 mph"
"2535","Total Ascent","309.7 ft"
"2536","Total Descent","294.7 ft"
"2537","Min Elev","633.7 ft"
"2538","Max Elev","741.5 ft"
"2539","Avg Run Cadence","156 spm"
"2540","Max Run Cadence","168 spm"
"2541","Avg Stride Length","1.50 m"
"2542","title","Athens Running"
"2543","Distance","16.01 mi"
"2544","Calories Burned","2,063 C"
"2545","Calories Consumed","-- C"
"2546","Calories Net","-2,063 C"
"2547","Est. Sweat Loss","804 ml"
"2548","Fluid Consumed","-- ml"
"2549","Fluid Net","-804 ml"
"2550","Aerobic","5.0 Overreaching"
"2551","Anaerobic","0.4 No Benefit"
"2552","Avg HR","163 bpm"
"2553","Max HR","177 bpm"
"2554","Time","2:14:04"
"2555","Moving Time","2:13:26"
"2556","Elapsed Time","2:21:16"
"2557","Avg Speed","7.2 mph"
"2558","Avg Moving Speed","7.2 mph"
"2559","Max Speed","9.6 mph"
"2560","Total Ascent","845.5 ft"
"2561","Total Descent","800.9 ft"
"2562","Min Elev","580.7 ft"
"2563","Max Elev","780.8 ft"
"2564","Avg Run Cadence","148 spm"
"2565","Max Run Cadence","169 spm"
"2566","Avg Stride Length","1.30 m"
"2567","title","Athens Running"
"2568","Distance","5.01 mi"
"2569","Calories Burned","649 C"
"2570","Calories Consumed","-- C"
"2571","Calories Net","-649 C"
"2572","Est. Sweat Loss","281 ml"
"2573","Fluid Consumed","-- ml"
"2574","Fluid Net","-281 ml"
"2575","Aerobic","2.8 Maintaining"
"2576","Anaerobic","0.0 No Benefit"
"2577","Avg HR","147 bpm"
"2578","Max HR","166 bpm"
"2579","Time","46:57"
"2580","Moving Time","46:56"
"2581","Elapsed Time","47:06"
"2582","Avg Speed","6.4 mph"
"2583","Avg Moving Speed","6.4 mph"
"2584","Max Speed","9.2 mph"
"2585","Total Ascent","296.6 ft"
"2586","Total Descent","274.4 ft"
"2587","Min Elev","634.2 ft"
"2588","Max Elev","741.5 ft"
"2589","Avg Run Cadence","145 spm"
"2590","Max Run Cadence","162 spm"
"2591","Avg Stride Length","1.18 m"
"2592","title","Athens Running"
"2593","Distance","5.01 mi"
"2594","Calories Burned","597 C"
"2595","Calories Consumed","-- C"
"2596","Calories Net","-597 C"
"2597","Est. Sweat Loss","218 ml"
"2598","Fluid Consumed","-- ml"
"2599","Fluid Net","-218 ml"
"2600","Aerobic","3.7 Impacting"
"2601","Anaerobic","0.5 No Benefit"
"2602","Avg HR","165 bpm"
"2603","Max HR","182 bpm"
"2604","Time","36:26"
"2605","Moving Time","36:22"
"2606","Elapsed Time","36:26"
"2607","Avg Speed","8.2 mph"
"2608","Avg Moving Speed","8.3 mph"
"2609","Max Speed","11.7 mph"
"2610","Total Ascent","282.6 ft"
"2611","Total Descent","234.0 ft"
"2612","Min Elev","632.8 ft"
"2613","Max Elev","741.5 ft"
"2614","Avg Run Cadence","154 spm"
"2615","Max Run Cadence","178 spm"
"2616","Avg Stride Length","1.43 m"
"2617","title","Athens Running"
"2618","Distance","10.01 mi"
"2619","Calories Burned","1,198 C"
"2620","Calories Consumed","-- C"
"2621","Calories Net","-1,198 C"
"2622","Est. Sweat Loss","462 ml"
"2623","Fluid Consumed","-- ml"
"2624","Fluid Net","-462 ml"
"2625","Aerobic","4.1 Highly Impacting"
"2626","Anaerobic","0.2 No Benefit"
"2627","Avg HR","162 bpm"
"2628","Max HR","175 bpm"
"2629","Time","1:17:01"
"2630","Moving Time","1:16:52"
"2631","Elapsed Time","1:17:30"
"2632","Avg Speed","7.8 mph"
"2633","Avg Moving Speed","7.8 mph"
"2634","Max Speed","9.6 mph"
"2635","Total Ascent","540.6 ft"
"2636","Total Descent","532.5 ft"
"2637","Min Elev","632.9 ft"
"2638","Max Elev","752.5 ft"
"2639","Avg Run Cadence","152 spm"
"2640","Max Run Cadence","168 spm"
"2641","Avg Stride Length","1.38 m"
"2642","title","Athens Running"
"2643","Distance","3.09 mi"
"2644","Calories Burned","375 C"
"2645","Calories Consumed","-- C"
"2646","Calories Net","-375 C"
"2647","Est. Sweat Loss","182 ml"
"2648","Fluid Consumed","-- ml"
"2649","Fluid Net","-182 ml"
"2650","Aerobic","2.1 Maintaining"
"2651","Anaerobic","0.0 No Benefit"
"2652","Avg HR","137 bpm"
"2653","Max HR","149 bpm"
"2654","Time","30:28"
"2655","Moving Time","30:27"
"2656","Elapsed Time","30:32"
"2657","Avg Speed","6.1 mph"
"2658","Avg Moving Speed","6.1 mph"
"2659","Max Speed","7.7 mph"
"2660","Total Ascent","118.3 ft"
"2661","Total Descent","54.8 ft"
"2662","Min Elev","634.2 ft"
"2663","Max Elev","741.5 ft"
"2664","Avg Run Cadence","146 spm"
"2665","Max Run Cadence","159 spm"
"2666","Avg Stride Length","1.12 m"
"2667","title","Athens Running"
"2668","Distance","3.42 mi"
"2669","Calories Burned","445 C"
"2670","Calories Consumed","-- C"
"2671","Calories Net","-445 C"
"2672","Est. Sweat Loss","198 ml"
"2673","Fluid Consumed","-- ml"
"2674","Fluid Net","-198 ml"
"2675","Aerobic","2.5 Maintaining"
"2676","Anaerobic","0.0 No Benefit"
"2677","Avg HR","145 bpm"
"2678","Max HR","159 bpm"
"2679","Time","33:05"
"2680","Moving Time","33:03"
"2681","Elapsed Time","33:11"
"2682","Avg Speed","6.2 mph"
"2683","Avg Moving Speed","6.2 mph"
"2684","Max Speed","7.1 mph"
"2685","Total Ascent","116.4 ft"
"2686","Total Descent","49.1 ft"
"2687","Min Elev","634.5 ft"
"2688","Max Elev","741.5 ft"
"2689","Avg Run Cadence","146 spm"
"2690","Max Run Cadence","160 spm"
"2691","Avg Stride Length","1.14 m"
"2692","title","Athens Running"
"2693","Distance","10.01 mi"
"2694","Calories Burned","1,238 C"
"2695","Calories Consumed","-- C"
"2696","Calories Net","-1,238 C"
"2697","Est. Sweat Loss","476 ml"
"2698","Fluid Consumed","-- ml"
"2699","Fluid Net","-476 ml"
"2700","Aerobic","4.1 Highly Impacting"
"2701","Anaerobic","0.0 No Benefit"
"2702","Avg HR","162 bpm"
"2703","Max HR","172 bpm"
"2704","Time","1:19:28"
"2705","Moving Time","1:19:14"
"2706","Elapsed Time","1:20:31"
"2707","Avg Speed","7.6 mph"
"2708","Avg Moving Speed","7.6 mph"
"2709","Max Speed","8.7 mph"
"2710","Total Ascent","555.2 ft"
"2711","Total Descent","544.1 ft"
"2712","Min Elev","633.7 ft"
