"","labs","rows"
"192","Max Run Cadence","162 spm"
"193","Avg Stride Length","1.36 m"
"194","Moderate","1 min"
"195","Vigorous","92 min
x2"
"196","Total","185 min"
"197","title","Athens Running"
"198","Distance","10.01 mi"
"199","Calories Burned","1,134 C"
"200","Calories Consumed","-- C"
"201","Calories Net","-1,134 C"
"202","Est. Sweat Loss","419 ml"
"203","Fluid Consumed","-- ml"
"204","Fluid Net","-419 ml"
"205","Aerobic","4.0 Highly Impacting"
"206","Anaerobic","2.5 Maintaining"
"207","Avg HR","162 bpm"
"208","Max HR","190 bpm"
"209","Time","1:09:59"
"210","Moving Time","1:09:48"
"211","Elapsed Time","1:22:02"
"212","Avg Speed","8.6 mph"
"213","Avg Moving Speed","8.6 mph"
"214","Max Speed","11.1 mph"
"215","Total Ascent","399.2 ft"
"216","Total Descent","389.7 ft"
"217","Min Elev","639.8 ft"
"218","Max Elev","780.8 ft"
"219","Avg Run Cadence","157 spm"
"220","Max Run Cadence","179 spm"
"221","Avg Stride Length","1.46 m"
"222","Moderate","0 min"
"223","Vigorous","79 min
x2"
"224","Total","158 min"
"225","title","Athens Running"
"226","Distance","5.01 mi"
"227","Calories Burned","645 C"
"228","Calories Consumed","-- C"
"229","Calories Net","-645 C"
"230","Est. Sweat Loss","305 ml"
"231","Fluid Consumed","-- ml"
"232","Fluid Net","-305 ml"
"233","Aerobic","2.5 Maintaining"
"234","Anaerobic","0.0 No Benefit"
"235","Avg HR","141 bpm"
"236","Max HR","172 bpm"
"237","Time","50:56"
"238","Moving Time","50:51"
"239","Elapsed Time","51:17"
"240","Avg Speed","5.9 mph"
"241","Avg Moving Speed","5.9 mph"
"242","Max Speed","8.1 mph"
"243","Total Ascent","294.4 ft"
"244","Total Descent","253.8 ft"
"245","Min Elev","633.2 ft"
"246","Max Elev","741.5 ft"
"247","Avg Run Cadence","143 spm"
"248","Max Run Cadence","164 spm"
"249","Avg Stride Length","1.10 m"
"250","Moderate","1 min"
"251","Vigorous","50 min
x2"
"252","Total","101 min"
"253","title","Athens Running"
"254","Distance","20.01 mi"
"255","Calories Burned","2,379 C"
"256","Calories Consumed","-- C"
"257","Calories Net","-2,379 C"
"258","Est. Sweat Loss","909 ml"
"259","Fluid Consumed","-- ml"
"260","Fluid Net","-909 ml"
"261","Aerobic","5.0 Overreaching"
"262","Anaerobic","0.4 No Benefit"
"263","Avg HR","165 bpm"
"264","Max HR","177 bpm"
"265","Time","2:31:33"
"266","Moving Time","2:30:51"
"267","Elapsed Time","2:40:50"
"268","Avg Speed","7.9 mph"
"269","Avg Moving Speed","8.0 mph"
"270","Max Speed","10.7 mph"
"271","Total Ascent","1,015.1 ft"
"272","Total Descent","1,028.2 ft"
"273","Min Elev","602.3 ft"
"274","Max Elev","784.1 ft"
"275","Avg Run Cadence","152 spm"
"276","Max Run Cadence","186 spm"
"277","Avg Stride Length","1.40 m"
"278","Moderate","1 min"
"279","Vigorous","159 min
x2"
"280","Total","319 min"
"281","title","Athens Running"
"282","Distance","5.01 mi"
"283","Calories Burned","653 C"
"284","Calories Consumed","-- C"
"285","Calories Net","-653 C"
"286","Est. Sweat Loss","294 ml"
"287","Fluid Consumed","-- ml"
"288","Fluid Net","-294 ml"
"289","Aerobic","2.6 Maintaining"
"290","Anaerobic","0.0 No Benefit"
"291","Avg HR","147 bpm"
"292","Max HR","164 bpm"
"293","Time","49:06"
"294","Moving Time","49:05"
"295","Elapsed Time","49:06"
"296","Avg Speed","6.1 mph"
"297","Avg Moving Speed","6.1 mph"
"298","Max Speed","7.2 mph"
"299","Total Ascent","298.0 ft"
"300","Total Descent","240.2 ft"
"301","Min Elev","635.1 ft"
"302","Max Elev","741.5 ft"
"303","Avg Run Cadence","144 spm"
"304","Max Run Cadence","160 spm"
"305","Avg Stride Length","1.14 m"
"306","Moderate","0 min"
"307","Vigorous","46 min
x2"
"308","Total","92 min"
"309","title","Athens Running"
"310","Distance","5.01 mi"
"311","Calories Burned","591 C"
"312","Calories Consumed","-- C"
"313","Calories Net","-591 C"
"314","Est. Sweat Loss","206 ml"
"315","Fluid Consumed","-- ml"
"316","Fluid Net","-206 ml"
"317","Aerobic","3.8 Impacting"
"318","Anaerobic","0.0 No Benefit"
"319","Avg HR","172 bpm"
"320","Max HR","182 bpm"
"321","Time","34:24"
"322","Moving Time","34:20"
"323","Elapsed Time","34:34"
"324","Avg Speed","8.7 mph"
"325","Avg Moving Speed","8.8 mph"
"326","Max Speed","9.8 mph"
"327","Total Ascent","303.2 ft"
"328","Total Descent","286.0 ft"
"329","Min Elev","636.6 ft"
"330","Max Elev","741.5 ft"
"331","Avg Run Cadence","157 spm"
"332","Max Run Cadence","171 spm"
"333","Avg Stride Length","1.49 m"
"334","Moderate","1 min"
"335","Vigorous","33 min
x2"
"336","Total","67 min"
"337","title","Athens Running"
"338","Distance","3.21 mi"
"339","Calories Burned","395 C"
"340","Calories Consumed","-- C"
"341","Calories Net","-395 C"
"342","Est. Sweat Loss","189 ml"
"343","Fluid Consumed","-- ml"
"344","Fluid Net","-189 ml"
"345","Aerobic","2.2 Maintaining"
"346","Anaerobic","0.0 No Benefit"
"347","Avg HR","136 bpm"
"348","Max HR","158 bpm"
"349","Time","31:32"
"350","Moving Time","31:31"
"351","Elapsed Time","31:32"
"352","Avg Speed","6.1 mph"
"353","Avg Moving Speed","6.1 mph"
"354","Max Speed","6.9 mph"
"355","Total Ascent","123.0 ft"
"356","Total Descent","69.1 ft"
"357","Min Elev","633.9 ft"
"358","Max Elev","741.5 ft"
"359","Avg Run Cadence","143 spm"
"360","Max Run Cadence","154 spm"
"361","Avg Stride Length","1.14 m"
"362","Moderate","1 min"
"363","Vigorous","30 min
x2"
"364","Total","61 min"
"365","title","Athens Running"
"366","Distance","12.01 mi"
"367","Calories Burned","1,455 C"
"368","Calories Consumed","-- C"
"369","Calories Net","-1,455 C"
"370","Est. Sweat Loss","571 ml"
"371","Fluid Consumed","-- ml"
"372","Fluid Net","-571 ml"
"373","Aerobic","4.0 Highly Impacting"
"374","Anaerobic","0.0 No Benefit"
"375","Avg HR","159 bpm"
"376","Max HR","173 bpm"
"377","Time","1:35:16"
"378","Moving Time","1:34:50"
"379","Elapsed Time","1:36:40"
"380","Avg Speed","7.6 mph"
"381","Avg Moving Speed","7.6 mph"
"382","Max Speed","8.9 mph"
"383","Total Ascent","639.4 ft"
"384","Total Descent","586.0 ft"
"385","Min Elev","634.5 ft"
"386","Max Elev","756.6 ft"
"387","Avg Run Cadence","150 spm"
"388","Max Run Cadence","162 spm"
"389","Avg Stride Length","1.35 m"
"390","Moderate","1 min"
"391","Vigorous","95 min
x2"
